Date,Ten_Year_Treasury
2023-06-01,0.0371
2023-05-01,0.035699999999999996
2023-04-01,0.0346
2023-03-01,0.0366
2023-02-01,0.0375
2023-01-01,0.0353
2022-12-01,0.0362
2022-11-01,0.038900000000000004
2022-10-01,0.0398
2022-09-01,0.0352
2022-08-01,0.028999999999999998
2022-07-01,0.028999999999999998
2022-06-01,0.031400000000000004
2022-05-01,0.028999999999999998
2022-04-01,0.0275
2022-03-01,0.0213
2022-02-01,0.019299999999999998
2022-01-01,0.0176
2021-12-01,0.0147
2021-11-01,0.015600000000000001
2021-10-01,0.0158
2021-09-01,0.0137
2021-08-01,0.0128
2021-07-01,0.0132
2021-06-01,0.0152
2021-05-01,0.016200000000000003
2021-04-01,0.0163
2021-03-01,0.0161
2021-02-01,0.0126
2021-01-01,0.0108
2020-12-01,0.009300000000000001
2020-11-01,0.0087
2020-10-01,0.0079
2020-09-01,0.0068000000000000005
2020-08-01,0.006500000000000001
2020-07-01,0.0062
2020-06-01,0.0073
2020-05-01,0.0067
2020-04-01,0.0066
2020-03-01,0.0087
2020-02-01,0.015
2020-01-01,0.0176
2019-12-01,0.018600000000000002
2019-11-01,0.0181
2019-10-01,0.0171
2019-09-01,0.017
2019-08-01,0.0163
2019-07-01,0.0206
2019-06-01,0.0207
2019-05-01,0.0239
2019-04-01,0.0253
2019-03-01,0.025699999999999997
2019-02-01,0.0268
2019-01-01,0.0271
2018-12-01,0.028300000000000002
2018-11-01,0.031200000000000002
2018-10-01,0.0315
2018-09-01,0.03
2018-08-01,0.028900000000000002
2018-07-01,0.028900000000000002
2018-06-01,0.0291
2018-05-01,0.0298
2018-04-01,0.0287
2018-03-01,0.028399999999999998
2018-02-01,0.0286
2018-01-01,0.0258
2017-12-01,0.024
2017-11-01,0.0235
2017-10-01,0.0236
2017-09-01,0.022000000000000002
2017-08-01,0.022099999999999998
2017-07-01,0.0232
2017-06-01,0.0219
2017-05-01,0.023
2017-04-01,0.023
2017-03-01,0.0248
2017-02-01,0.0242
2017-01-01,0.024300000000000002
2016-12-01,0.024900000000000002
2016-11-01,0.021400000000000002
2016-10-01,0.0176
2016-09-01,0.0163
2016-08-01,0.015600000000000001
2016-07-01,0.015
2016-06-01,0.016399999999999998
2016-05-01,0.0181
2016-04-01,0.0181
2016-03-01,0.0189
2016-02-01,0.0178
2016-01-01,0.0209
2015-12-01,0.022400000000000003
2015-11-01,0.0226
2015-10-01,0.0207
2015-09-01,0.0217
2015-08-01,0.0217
2015-07-01,0.0232
2015-06-01,0.0236
2015-05-01,0.022000000000000002
2015-04-01,0.019299999999999998
2015-03-01,0.0204
2015-02-01,0.019799999999999998
2015-01-01,0.018799999999999997
2014-12-01,0.022099999999999998
2014-11-01,0.0233
2014-10-01,0.023
2014-09-01,0.0253
2014-08-01,0.0242
2014-07-01,0.0254
2014-06-01,0.026000000000000002
2014-05-01,0.0256
2014-04-01,0.0271
2014-03-01,0.027200000000000002
2014-02-01,0.0271
2014-01-01,0.0286
2013-12-01,0.028999999999999998
2013-11-01,0.027200000000000002
2013-10-01,0.0262
2013-09-01,0.0281
2013-08-01,0.0274
2013-07-01,0.0258
2013-06-01,0.023
2013-05-01,0.019299999999999998
2013-04-01,0.0176
2013-03-01,0.0196
2013-02-01,0.019799999999999998
2013-01-01,0.0191
2012-12-01,0.0172
2012-11-01,0.0165
2012-10-01,0.0175
2012-09-01,0.0172
2012-08-01,0.0168
2012-07-01,0.015300000000000001
2012-06-01,0.016200000000000003
2012-05-01,0.018000000000000002
2012-04-01,0.020499999999999997
2012-03-01,0.0217
2012-02-01,0.0197
2012-01-01,0.0197
2011-12-01,0.019799999999999998
2011-11-01,0.020099999999999996
2011-10-01,0.0215
2011-09-01,0.019799999999999998
2011-08-01,0.023
2011-07-01,0.03
2011-06-01,0.03
2011-05-01,0.0317
2011-04-01,0.0345
2011-03-01,0.0341
2011-02-01,0.0358
2011-01-01,0.0339
2010-12-01,0.0329
