Year,Month,FullDate,SP500Index,CPIMonthly,MonthlyDiv,Earnings,Inflation Rate,CPIIndex,SP500+DivMonthly,TotalMonthlyReturn,10-YearTreasury
1871,1,Jan-31-1871,4.440000,0.000000,0.021667,0.400000,0.000000,1.000000,1.000000,0.000000,0.053200
1871,2,Feb-28-1871,4.500000,0.030500,0.021667,0.400000,0.031000,1.030000,1.020000,0.018393,0.053200
1871,3,Mar-31-1871,4.610000,0.014800,0.021667,0.400000,0.015000,1.050000,1.050000,0.029259,0.053300
1871,4,Apr-30-1871,4.740000,-0.036500,0.021667,0.400000,-0.036000,1.010000,1.080000,0.032899,0.053300
1871,5,May-31-1871,4.860000,-0.022700,0.021667,0.400000,-0.023000,0.980000,1.120000,0.029887,0.053300
1871,6,Jun-30-1871,4.820000,-0.015500,0.021667,0.400000,-0.016000,0.970000,1.110000,-0.003772,0.053400
1871,7,Jul-31-1871,4.730000,0.000000,0.021667,0.400000,0.000000,0.970000,1.100000,-0.014177,0.053400
1871,8,Aug-31-1871,4.790000,-0.015700,0.021667,0.400000,-0.016000,0.950000,1.110000,0.017266,0.053400
1871,9,Sep-30-1871,4.840000,0.024000,0.021667,0.400000,0.024000,0.980000,1.130000,0.014962,0.053500
1871,10,Oct-31-1871,4.590000,0.015600,0.021667,0.400000,0.016000,0.990000,1.080000,-0.047176,0.053500
1871,11,Nov-30-1871,4.640000,0.000000,0.021667,0.400000,0.000000,0.990000,1.090000,0.015614,0.053500
1871,12,Dec-31-1871,4.740000,0.023100,0.021667,0.400000,0.023000,1.020000,1.120000,0.026221,0.053600
1872,1,Jan-31-1872,4.860000,0.000000,0.022222,0.400000,0.000000,1.020000,1.160000,0.030005,0.053600
1872,2,Feb-28-1872,4.880000,0.000000,0.022222,0.410000,0.000000,1.020000,1.170000,0.008688,0.053800
1872,3,Mar-31-1872,5.040000,0.015000,0.022222,0.410000,0.015000,1.030000,1.210000,0.037341,0.054000
1872,4,Apr-30-1872,5.180000,0.022200,0.023056,0.410000,0.022000,1.050000,1.250000,0.032352,0.054100
1872,5,May-31-1872,5.180000,0.000000,0.023056,0.410000,0.000000,1.050000,1.250000,0.004451,0.054300
1872,6,Jun-30-1872,5.130000,-0.007200,0.023056,0.410000,-0.007000,1.050000,1.250000,-0.005202,0.054500
1872,7,Jul-31-1872,5.100000,-0.014600,0.023889,0.420000,-0.015000,1.030000,1.250000,-0.001191,0.054700
1872,8,Aug-31-1872,5.040000,0.007400,0.023889,0.420000,0.007000,1.040000,1.240000,-0.007081,0.054900
1872,9,Sep-30-1872,4.950000,0.007400,0.023889,0.420000,0.007000,1.050000,1.220000,-0.013117,0.055100
1872,10,Oct-31-1872,4.970000,-0.021900,0.024722,0.420000,-0.022000,1.020000,1.230000,0.009035,0.055300
1872,11,Nov-30-1872,4.950000,0.029900,0.024722,0.430000,0.030000,1.050000,1.230000,0.000950,0.055400
1872,12,Dec-31-1872,5.070000,-0.014500,0.024722,0.430000,-0.014000,1.040000,1.270000,0.029237,0.055600
1873,1,Jan-31-1873,5.110000,0.000000,0.025417,0.430000,0.000000,1.040000,1.290000,0.012903,0.055800
1873,2,Feb-28-1873,5.150000,0.022100,0.025417,0.430000,0.022000,1.060000,1.300000,0.012802,0.055700
1873,3,Mar-31-1873,5.110000,0.000000,0.025417,0.440000,0.000000,1.060000,1.300000,-0.002832,0.055600
1873,4,Apr-30-1873,5.040000,0.000000,0.026042,0.440000,0.000000,1.060000,1.290000,-0.008602,0.055500
1873,5,May-31-1873,5.050000,-0.021600,0.026042,0.440000,-0.022000,1.040000,1.300000,0.007151,0.055400
1873,6,Jun-30-1873,4.980000,-0.029400,0.026042,0.450000,-0.029000,1.010000,1.290000,-0.008705,0.055300
1873,7,Jul-31-1873,4.970000,0.000000,0.026667,0.450000,0.000000,1.010000,1.290000,0.003347,0.055300
1873,8,Aug-31-1873,4.970000,0.000000,0.026667,0.450000,0.000000,1.010000,1.300000,0.005366,0.055200
1873,9,Sep-30-1873,4.590000,0.000000,0.026667,0.450000,0.000000,1.010000,1.200000,-0.071093,0.055100
1873,10,Oct-31-1873,4.190000,-0.022700,0.027292,0.460000,-0.023000,0.980000,1.110000,-0.081200,0.055000
1873,11,Nov-30-1873,4.040000,-0.031000,0.027292,0.460000,-0.031000,0.950000,1.070000,-0.029286,0.054900
1873,12,Dec-31-1873,4.420000,0.024000,0.027292,0.460000,0.024000,0.980000,1.180000,0.100815,0.054800
1874,1,Jan-31-1874,4.660000,0.015600,0.027500,0.460000,0.016000,0.990000,1.250000,0.060520,0.054700
1874,2,Feb-28-1874,4.800000,0.000000,0.027500,0.460000,0.000000,0.990000,1.300000,0.035944,0.054400
1874,3,Mar-31-1874,4.730000,0.000000,0.027500,0.460000,0.000000,0.990000,1.290000,-0.008854,0.054000
1874,4,Apr-30-1874,4.600000,-0.015400,0.027500,0.460000,-0.015000,0.980000,1.260000,-0.021670,0.053700
1874,5,May-31-1874,4.480000,-0.007800,0.027500,0.460000,-0.008000,0.970000,1.230000,-0.020109,0.053400
1874,6,Jun-30-1874,4.460000,-0.023600,0.027500,0.460000,-0.024000,0.950000,1.240000,0.001674,0.053000
1874,7,Jul-31-1874,4.460000,0.008100,0.027500,0.460000,0.008000,0.950000,1.240000,0.006166,0.052700
